,Video Views,Creator Gender,Language of the Video,Video Description,Video Quality,Duration,Premiered or Not,Total Channel Subcribers,Total Chanel Views,No of Likes,Hashtags,No of Videos the Channel,Community Engagement (Posts per week)
126,199285,Org,English,Yes,Medium,short,No,0.04652676140861693,0.07895457895973723,3.469387755102041e-05,0.03571428571428571,0.029883404484296393,0.02346041055718475
127,1243241,Org,Hindi,Yes,High,long,No,0.0006584732057276835,0.0004328493601720289,0.0012857142857142859,0.10714285714285714,0.00013571460884430678,0.0
128,237,Org,English,Yes,High,short,No,6.815203904708167e-07,8.750392011008735e-08,4.081632653061225e-08,0.10714285714285714,0.00017619089569260882,0.0
129,1431100,Org,English,Yes,High,short,No,0.047182069476377334,0.06018387133415859,0.0006326530612244898,0.03571428571428571,0.04335724608868117,0.0
130,6630,Male,English,Yes,Medium,long,No,2.544561227113636e-05,6.4539977937979e-06,0.0,0.14285714285714285,0.00029285784013771465,0.0
131,29200857,Org,English,Yes,Medium,short,No,0.011271187363107374,0.016611461731771856,0.004469387755102041,0.0,0.026885778299472144,0.005865102639296188
132,102203,Male,English,Yes,Medium,medium,No,0.003273152396091682,0.0008115472989543778,7.346938775510205e-05,0.0,0.0021833385317584094,0.005865102639296188
133,623117,Male,English,Yes,Medium,long,No,0.12024891903166202,0.005078977047069663,0.0004897959183673469,0.0,0.0330929359355617,0.04105571847507331
134,91435353,Male,English,Yes,Medium,short,No,0.06356477117038735,0.1671526966216637,0.01702040816326531,0.0,0.0014071462074909701,0.0
135,128052,Male,Telugu,Yes,Medium,long,No,0.0009337025941870518,0.0005115739346653322,4.89795918367347e-05,0.03571428571428571,0.0330929359355617,0.04105571847507331
136,3961582,Male,Hindi,No,Medium,long,No,0.012417976481688076,0.004385329949272184,0.003448979591836735,0.10714285714285714,0.0009238117233612462,0.005865102639296188
137,26031,Male,English,Yes,Medium,long,No,8.835518677613483e-05,1.1055901511158024e-05,1.7408163265306124e-05,0.0,0.00020000047619161,0.002932551319648094
138,38582417,Org,English,Yes,High,short,No,0.031651268270455835,0.026584226689985595,0.01429795918367347,0.0,0.000480953526079824,0.002932551319648094
139,216310,Female,Kannada,Yes,High,medium,No,0.0007436632545365356,0.00036903554314065445,8.571428571428571e-05,0.03571428571428571,0.0001619051473932081,0.002932551319648094
140,39908,Male,Tamil,Yes,Medium,short,No,9.556357552149924e-05,2.7287703935387924e-05,4.0816326530612245e-05,0.0,0.00010952407029540547,0.002932551319648094
141,642393,Org,English,Yes,Medium,short,No,0.03964602669713272,0.05033671978412712,0.0001795918367346939,0.0,0.0068357305612632415,0.002932551319648094
